Id,MSSubClass,MSZoning,Utilities,Neighborhood,BldgType,RoofMatl,Foundation,TotalBsmtSF,Heating,CentralAir,Electrical,1stFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Functional,GarageType,PavedDrive,Fence,MiscFeature,MiscVal,SaleType,SaleCondition,SalePrice,StreetAlley,LandSlpContr,LotCondition,BsmtFinType,BsmtGrade,LotExterior,ExterGrade,GarageGrade,HouseAge,GarageAge,RemodAge,BsmtFinSF,TotalBsmtBath,LivRmsAbvGrd,WDOpnPorch,TSSnEncPorch,OverallGrade
28,20,RL,AllPub,NridgHt,1Fam,CompShg,PConc,1704,GasA,Y,SBrkr,1704,0,1704,2,0,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,306000,1.5,1.5,2.0,3.5,1.5,12.5,3.0,4.0,3,2.0,2,1218,1.0,3,50,0,6.5
29,20,RL,AllPub,NAmes,1Fam,CompShg,CBlock,1484,GasA,Y,SBrkr,1600,0,1600,1,0,2,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,207500,1.5,1.5,2.0,3.0,3.0,8.0,3.5,4.0,49,49.0,9,1277,1.0,3,546,0,5.5
30,30,RM,AllPub,BrkSide,1Fam,CompShg,BrkTil,520,GasA,N,SBrkr,520,0,520,1,0,1,1,Typ,Detchd,Y,missing,missing,0,WD,Normal,68500,1.5,1.5,4.0,5.0,3.0,8.0,3.5,2.5,81,88.0,58,0,0.0,2,49,87,5.0
31,70,C (all),AllPub,IDOTRR,1Fam,CompShg,BrkTil,649,GasA,N,SBrkr,649,0,1317,1,0,3,1,Typ,Detchd,N,MnPrv,missing,0,WD,Normal,40000,1.0,1.5,1.5,5.0,3.0,3.0,2.0,2.5,88,88.0,58,0,0.0,2,54,172,4.0
32,20,RL,AllPub,Sawyer,1Fam,CompShg,CBlock,1228,GasA,Y,SBrkr,1228,0,1228,1,1,3,1,Typ,Attchd,Y,MnPrv,missing,0,WD,Normal,149350,1.5,1.5,2.0,5.0,3.0,6.0,3.5,4.0,42,42.0,2,0,0.0,2,65,0,5.5
33,20,RL,AllPub,CollgCr,1Fam,CompShg,PConc,1234,GasA,Y,SBrkr,1234,0,1234,2,0,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,179900,1.5,1.5,2.0,5.0,1.5,12.5,3.0,4.0,1,1.0,1,0,0.0,3,30,0,6.5
34,20,RL,AllPub,NAmes,1Fam,CompShg,CBlock,1398,GasA,Y,SBrkr,1700,0,1700,1,1,4,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,165500,1.5,1.5,2.0,4.5,3.0,3.0,3.5,4.0,51,51.0,51,1018,0.5,1,38,0,5.0
35,120,RL,AllPub,NridgHt,TwnhsE,CompShg,PConc,1561,GasA,Y,SBrkr,1561,0,1561,2,0,2,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,277500,1.5,1.5,2.0,3.5,1.5,8.0,2.0,4.0,2,2.0,2,1153,1.0,3,250,0,7.0
36,60,RL,AllPub,NridgHt,1Fam,CompShg,PConc,1117,GasA,Y,SBrkr,1132,0,2452,3,1,4,1,Typ,BuiltIn,Y,missing,missing,0,WD,Normal,309000,1.5,1.5,2.0,5.0,1.5,12.5,3.0,4.0,2,2.0,1,0,0.0,4,145,0,6.5
37,20,RL,AllPub,CollgCr,1Fam,CompShg,PConc,1097,GasA,Y,SBrkr,1097,0,1097,1,1,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,145000,1.5,1.5,2.0,5.0,2.5,12.5,3.5,4.0,15,14.0,14,0,0.0,2,456,0,5.0
38,20,RL,AllPub,NAmes,1Fam,CompShg,CBlock,1297,GasA,Y,SBrkr,1297,0,1297,1,0,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,153000,1.5,1.5,2.0,4.5,3.0,13.5,3.5,4.0,55,55.0,19,1213,0.5,1,0,0,5.5
39,20,RL,AllPub,NAmes,1Fam,CompShg,CBlock,1057,GasA,Y,SBrkr,1057,0,1057,1,0,3,1,Typ,Detchd,Y,missing,missing,0,WD,Abnorml,109000,1.5,1.5,2.0,3.5,3.0,12.5,2.5,4.0,57,57.0,3,731,1.0,1,52,0,6.0
40,90,RL,AllPub,Edwards,Duplex,CompShg,PConc,0,GasA,N,FuseP,1152,0,1152,2,0,2,2,Typ,missing,N,missing,missing,0,WD,AdjLand,82000,1.5,1.5,2.0,6.0,4.0,5.0,3.5,5.0,53,28.0,53,0,0.0,2,0,0,4.5
41,20,RL,AllPub,NAmes,1Fam,CompShg,CBlock,1088,GasA,Y,SBrkr,1324,0,1324,2,0,3,1,Typ,Attchd,Y,GdWo,missing,0,WD,Abnorml,160000,1.5,1.5,2.0,4.5,3.0,13.5,3.5,4.0,41,41.0,41,643,0.0,2,138,0,5.5
42,20,RL,AllPub,Timber,1Fam,CompShg,CBlock,1350,GasA,Y,SBrkr,1328,0,1328,1,1,2,1,Typ,Attchd,P,missing,missing,0,WD,Normal,170000,1.5,1.5,2.0,3.0,3.0,12.5,2.5,4.0,48,48.0,48,967,0.5,2,104,0,5.5
43,85,RL,AllPub,SawyerW,1Fam,CompShg,CBlock,840,GasA,Y,SBrkr,884,0,884,1,0,2,1,Typ,Attchd,Y,MnPrv,missing,0,WD,Normal,144000,1.5,1.5,2.0,1.5,2.5,6.0,3.5,3.0,24,24.0,24,840,1.0,2,240,0,6.0
44,20,RL,AllPub,CollgCr,1Fam,CompShg,CBlock,938,GasA,Y,SBrkr,938,0,938,1,0,3,1,Typ,Detchd,Y,MnPrv,missing,0,WD,Normal,130250,1.5,1.5,2.0,2.0,2.5,12.5,3.5,4.0,33,31.0,28,771,1.0,1,145,0,5.5
45,20,RL,AllPub,NAmes,1Fam,CompShg,CBlock,1150,GasA,Y,FuseA,1150,0,1150,1,0,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,141000,1.5,1.5,2.0,0.5,3.0,8.5,3.5,4.0,47,47.0,47,685,1.0,2,0,0,5.5
46,120,RL,AllPub,NridgHt,TwnhsE,CompShg,PConc,1752,GasA,Y,SBrkr,1752,0,1752,2,0,2,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,319900,1.5,1.5,2.0,3.5,1.5,8.0,2.0,4.0,5,5.0,5,456,1.0,3,278,0,7.0
47,50,RL,AllPub,Mitchel,1Fam,CompShg,PConc,1434,GasA,Y,SBrkr,1518,0,2149,1,1,1,1,Typ,Attchd,Y,missing,missing,0,WD,Abnorml,239686,1.5,1.5,2.0,3.5,1.5,12.5,3.0,4.0,6,6.0,6,1351,1.0,4,211,198,6.0
48,20,FV,AllPub,Somerst,1Fam,CompShg,PConc,1656,GasA,Y,SBrkr,1656,0,1656,2,0,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,249700,1.5,1.5,2.0,3.5,2.5,12.5,3.0,4.0,1,1.0,1,24,0.0,3,146,0,6.5
49,190,RM,AllPub,OldTown,2fmCon,CompShg,BrkTil,736,GasA,Y,SBrkr,736,0,1452,2,0,2,3,Typ,missing,N,missing,missing,0,New,Partial,113000,1.5,1.5,2.0,5.0,3.0,8.0,3.5,5.0,89,29.0,1,0,0.0,3,0,102,4.5
50,20,RL,AllPub,Sawyer,1Fam,CompShg,CBlock,955,GasA,Y,SBrkr,955,0,955,1,0,3,1,Typ,Attchd,Y,MnPrv,missing,0,WD,Normal,127000,1.5,1.5,2.0,3.0,3.0,6.0,3.5,4.0,41,41.0,41,763,1.0,2,0,0,6.0
51,60,RL,AllPub,Gilbert,1Fam,CompShg,PConc,794,GasA,Y,SBrkr,794,0,1470,2,0,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,177000,1.5,1.5,2.0,3.5,2.5,12.5,3.5,4.0,10,10.0,10,182,0.5,2,75,0,6.0
52,50,RM,AllPub,BrkSide,1Fam,CompShg,PConc,816,GasA,Y,SBrkr,816,360,1176,1,0,3,1,Typ,Detchd,Y,MnPrv,Shed,400,WD,Normal,114500,1.5,1.5,2.0,5.0,3.0,13.5,3.5,4.0,72,21.0,56,0,0.0,2,112,0,6.0
53,90,RM,AllPub,IDOTRR,Duplex,CompShg,CBlock,816,GasA,N,SBrkr,816,0,816,1,0,2,1,Typ,CarPort,Y,missing,missing,0,WD,Normal,110000,1.0,0.5,5.0,2.5,2.5,13.5,2.5,4.0,47,47.0,47,816,1.0,2,106,0,5.0
54,20,RL,AllPub,Veenker,1Fam,WdShngl,CBlock,1842,GasA,Y,SBrkr,1842,0,1842,0,1,0,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,385000,1.5,1.0,2.0,3.5,1.5,14.5,3.0,4.0,25,25.0,19,1810,2.0,4,929,0,7.0
55,80,RL,AllPub,NAmes,1Fam,CompShg,CBlock,384,GasA,Y,SBrkr,1360,0,1360,1,0,3,1,Min1,Detchd,Y,MnPrv,missing,0,WD,Normal,130000,1.5,0.5,2.0,2.5,3.0,8.0,3.5,4.0,52,45.0,52,384,0.0,2,50,0,5.0
56,20,RL,AllPub,NAmes,1Fam,CompShg,CBlock,1425,GasA,Y,SBrkr,1425,0,1425,2,0,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,180500,1.5,1.5,2.0,3.0,3.0,8.0,3.5,4.0,44,44.0,44,490,0.0,3,0,407,5.5
57,160,FV,AllPub,Somerst,Twnhs,CompShg,PConc,970,GasA,Y,SBrkr,983,0,1739,2,1,3,1,Typ,Attchd,Y,missing,missing,0,WD,Abnorml,172500,1.0,1.5,2.0,3.5,2.5,8.0,3.0,4.0,10,10.0,9,649,1.0,3,115,0,6.5
58,60,RL,AllPub,CollgCr,1Fam,CompShg,PConc,860,GasA,Y,SBrkr,860,0,1720,2,1,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,196500,1.5,1.5,2.0,5.0,2.5,12.5,3.0,4.0,2,2.0,2,0,0.0,3,70,0,6.0
59,60,RL,AllPub,StoneBr,1Fam,CompShg,PConc,1410,GasA,Y,SBrkr,1426,0,2945,3,1,3,1,Typ,BuiltIn,Y,missing,missing,0,New,Partial,438780,1.5,0.5,2.0,5.0,1.5,12.5,2.0,4.0,0,0.0,0,0,0.0,6,192,37,7.5
60,20,RL,AllPub,CollgCr,1Fam,CompShg,CBlock,780,GasA,Y,SBrkr,780,0,780,1,0,2,1,Typ,Detchd,Y,MnPrv,missing,0,WD,Normal,124900,1.5,0.0,2.0,2.5,3.0,6.0,3.5,4.0,36,35.0,36,632,0.0,1,196,0,6.0
61,20,RL,AllPub,SawyerW,1Fam,CompShg,PConc,1158,GasA,Y,SBrkr,1158,0,1158,1,1,3,1,Typ,Detchd,Y,missing,missing,0,New,Partial,158000,1.5,1.5,3.5,2.5,2.5,12.5,3.5,4.0,2,0.0,2,941,1.0,1,50,0,5.5
62,75,RM,AllPub,IDOTRR,1Fam,CompShg,BrkTil,530,GasA,N,SBrkr,581,0,1111,1,0,3,1,Typ,Detchd,N,missing,missing,0,WD,Normal,101000,1.5,1.5,2.0,5.0,1.5,8.0,3.5,4.0,87,72.0,11,0,0.0,2,0,144,6.0
63,120,RL,AllPub,NridgHt,TwnhsE,CompShg,PConc,1370,GasA,Y,SBrkr,1370,0,1370,2,0,2,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,202500,1.5,1.5,2.0,3.5,1.5,12.5,3.0,4.0,1,1.0,1,24,0.0,3,169,0,6.5
64,70,RM,AllPub,OldTown,1Fam,CompShg,BrkTil,576,GasA,Y,SBrkr,902,0,1710,2,0,3,1,Typ,Detchd,Y,GdPrv,missing,0,WD,Normal,140000,1.5,0.0,3.5,5.0,3.0,11.5,3.5,4.0,89,20.0,60,0,0.0,5,23,64,6.5
65,60,RL,AllPub,CollgCr,1Fam,CompShg,PConc,1057,GasA,Y,SBrkr,1057,0,2034,2,1,3,1,Typ,Attchd,Y,GdPrv,missing,0,WD,Normal,219500,1.5,1.5,2.0,3.5,2.5,12.5,3.5,4.0,12,11.0,11,739,1.0,4,612,0,6.0
66,60,RL,AllPub,NridgHt,1Fam,CompShg,PConc,1143,GasA,Y,SBrkr,1143,0,2473,2,1,4,1,Typ,BuiltIn,Y,missing,missing,0,WD,Normal,317000,1.5,1.5,2.0,5.0,1.5,12.5,3.0,4.0,3,3.0,2,0,0.0,4,343,0,6.5
67,20,RL,AllPub,NAmes,1Fam,CompShg,CBlock,1947,GasA,Y,SBrkr,2207,0,2207,2,0,3,1,Min1,Attchd,Y,missing,missing,0,WD,Normal,180000,1.5,1.5,2.5,3.5,2.5,9.5,3.5,4.0,40,40.0,21,912,1.0,3,301,0,6.0
68,20,RL,AllPub,CollgCr,1Fam,CompShg,PConc,1453,GasA,Y,SBrkr,1479,0,1479,2,0,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,226000,1.5,1.5,2.0,3.5,2.5,12.5,3.0,4.0,4,4.0,4,1013,1.0,3,173,0,6.0
69,30,RM,AllPub,OldTown,1Fam,CompShg,CBlock,747,GasA,Y,SBrkr,747,0,747,1,0,2,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,80000,1.5,1.5,1.0,5.0,3.0,8.0,2.5,4.0,65,65.0,60,0,0.0,1,0,0,5.0
70,50,RL,AllPub,ClearCr,1Fam,CompShg,CBlock,1304,GasW,Y,SBrkr,1304,0,2287,2,0,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,225000,1.5,1.5,2.0,3.0,3.0,1.5,3.0,4.0,53,53.0,53,603,0.0,3,21,114,5.5
71,20,RL,AllPub,NAmes,1Fam,CompShg,CBlock,2223,GasA,Y,SBrkr,2223,0,2223,2,0,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,244000,1.5,1.5,2.0,2.5,2.5,9.5,2.5,4.0,34,34.0,34,1880,1.0,4,300,0,6.5
72,20,RL,AllPub,Mitchel,1Fam,CompShg,CBlock,845,GasA,Y,SBrkr,845,0,845,1,0,2,1,Typ,Detchd,Y,missing,missing,0,WD,Normal,129500,1.5,1.5,2.0,2.5,3.0,8.0,3.5,4.0,25,20.0,1,565,1.0,1,0,0,5.0
73,60,RL,AllPub,Gilbert,1Fam,CompShg,PConc,832,GasA,Y,SBrkr,885,0,1718,2,1,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,185000,1.5,1.5,2.0,5.0,2.5,12.5,3.5,4.0,11,11.0,11,0,0.0,3,94,291,6.0
74,20,RL,AllPub,NAmes,1Fam,CompShg,CBlock,1086,GasA,Y,SBrkr,1086,0,1086,1,0,3,1,Typ,Attchd,Y,GdWo,missing,0,WD,Normal,144900,1.5,1.5,2.0,0.5,3.0,13.5,3.5,4.0,56,21.0,7,682,1.0,2,0,0,6.0
75,50,RM,AllPub,OldTown,1Fam,CompShg,CBlock,840,GasA,N,SBrkr,840,0,1605,2,0,3,2,Typ,Detchd,Y,missing,missing,0,WD,Normal,107400,1.5,1.5,2.0,5.0,2.0,12.5,2.0,4.0,95,95.0,60,0,0.0,3,0,202,4.5
76,180,RM,AllPub,MeadowV,Twnhs,CompShg,CBlock,462,GasA,Y,SBrkr,526,0,988,1,0,2,1,Typ,BuiltIn,Y,GdWo,missing,0,WD,Normal,91000,1.5,1.5,2.0,3.5,2.5,5.0,3.5,4.0,36,36.0,36,462,1.0,2,221,0,4.5
77,20,RL,AllPub,NAmes,1Fam,CompShg,CBlock,952,GasA,Y,FuseA,952,0,952,1,0,2,1,Typ,Detchd,Y,missing,missing,0,WD,Normal,135750,1.5,1.5,2.0,2.5,3.0,12.5,3.5,4.0,52,52.0,52,228,0.0,1,0,0,5.5
78,50,RM,AllPub,BrkSide,1Fam,CompShg,CBlock,672,GasA,Y,SBrkr,1072,0,1285,1,0,2,1,Min1,Detchd,Y,MnPrv,missing,0,WD,Normal,127000,1.5,1.5,2.0,1.5,3.0,13.5,3.5,4.0,60,60.0,7,377,1.0,3,0,0,5.0
79,90,RL,AllPub,Sawyer,Duplex,CompShg,CBlock,1768,GasA,N,SBrkr,1768,0,1768,2,0,4,2,Typ,missing,Y,missing,missing,0,WD,Normal,136500,1.5,1.5,2.0,5.0,3.0,6.0,3.5,5.0,42,30.0,42,0,0.0,2,0,0,4.5
80,50,RM,AllPub,OldTown,1Fam,CompShg,PConc,440,GasA,Y,SBrkr,682,0,1230,1,1,2,1,Typ,Detchd,Y,MnPrv,missing,0,WD,Normal,110000,0.5,1.5,2.0,5.0,3.0,13.5,3.5,4.0,99,43.0,28,0,0.0,2,74,128,5.5
81,60,RL,AllPub,NAmes,1Fam,CompShg,CBlock,896,GasA,Y,SBrkr,1182,0,2142,2,1,4,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,193500,1.5,1.5,2.0,4.5,2.5,12.5,2.5,4.0,41,41.0,41,448,0.0,3,72,252,6.0
82,120,RM,AllPub,Mitchel,TwnhsE,CompShg,PConc,1237,GasA,Y,SBrkr,1337,0,1337,2,0,2,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,153500,1.5,1.5,2.0,3.5,0.5,12.5,2.5,4.0,8,8.0,8,1201,1.0,2,199,0,5.5
83,20,RL,AllPub,Somerst,1Fam,CompShg,PConc,1563,GasA,Y,SBrkr,1563,0,1563,2,0,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,245000,1.5,1.5,2.0,3.5,2.5,12.5,3.5,4.0,1,1.0,1,33,0.0,2,243,0,6.5
84,20,RL,AllPub,NAmes,1Fam,CompShg,CBlock,1065,GasA,Y,SBrkr,1065,0,1065,1,1,3,1,Typ,Detchd,Y,missing,missing,0,COD,Normal,126500,1.5,1.5,2.0,5.0,3.0,8.0,3.5,4.0,47,33.0,47,0,0.0,2,74,0,5.0
85,80,RL,AllPub,Gilbert,1Fam,CompShg,PConc,384,GasA,Y,SBrkr,804,0,1474,2,1,3,1,Typ,BuiltIn,Y,missing,Shed,700,WD,Normal,168500,1.5,1.5,2.0,5.0,2.5,6.0,3.5,4.0,14,14.0,13,0,0.0,3,192,0,6.0
86,60,RL,AllPub,NoRidge,1Fam,CompShg,CBlock,1288,GasA,Y,SBrkr,1301,0,2417,2,1,4,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,260000,1.5,1.5,2.0,5.0,2.5,6.0,3.0,4.0,15,15.0,14,0,0.0,4,209,0,6.5
87,60,RL,AllPub,Gilbert,1Fam,CompShg,PConc,684,GasA,Y,SBrkr,684,0,1560,2,1,3,1,Typ,BuiltIn,Y,missing,missing,0,WD,Normal,174000,1.5,1.5,2.0,5.0,2.5,12.5,3.0,4.0,4,4.0,4,0,0.0,2,138,0,5.5
88,160,FV,AllPub,Somerst,TwnhsE,CompShg,PConc,612,GasA,Y,SBrkr,612,0,1224,2,1,2,1,Typ,Detchd,Y,missing,missing,0,New,Partial,164500,1.0,1.5,2.0,5.0,2.5,12.5,3.0,4.0,0,0.0,0,0,0.0,1,234,0,5.5
