Id,MSSubClass,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,MiscVal,SaleType,SaleCondition,SalePrice,HouseAge,GarageAge,RemodAge,BsmtFinSF,TotalBsmtBath,LivRmsAbvGrd,WDOpnPorch,TSSnEncPorch,OverallGrade
11,20,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,missing,TA,TA,CBlock,TA,TA,No,Rec,Unf,1040,GasA,Ex,Y,SBrkr,1040,0,1040,1,0,3,1,TA,Typ,missing,Detchd,Unf,TA,TA,Y,missing,missing,missing,0,WD,Normal,129500,43,43.0,43,906,1.0,1,0,0,5.0
12,60,RL,Pave,missing,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Hip,CompShg,WdShing,Wd Shng,Stone,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1175,GasA,Ex,Y,SBrkr,1182,0,2324,3,0,4,1,Ex,Typ,Gd,BuiltIn,Fin,TA,TA,Y,missing,missing,missing,0,New,Partial,345000,1,1.0,0,998,1.0,6,168,0,7.0
13,20,RL,Pave,missing,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,Plywood,missing,TA,TA,CBlock,TA,TA,No,ALQ,Unf,912,GasA,TA,Y,SBrkr,912,0,912,1,0,2,1,TA,Typ,missing,Detchd,Unf,TA,TA,Y,missing,missing,missing,0,WD,Normal,144000,46,46.0,46,737,1.0,1,140,176,5.5
14,20,RL,Pave,missing,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,1494,GasA,Ex,Y,SBrkr,1494,0,1494,2,0,3,1,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,missing,missing,missing,0,New,Partial,279500,1,1.0,0,0,0.0,3,193,0,6.0
15,20,RL,Pave,missing,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,Unf,1253,GasA,TA,Y,SBrkr,1253,0,1253,1,1,2,1,TA,Typ,Fa,Attchd,RFn,TA,TA,Y,missing,GdWo,missing,0,WD,Normal,157000,48,48.0,48,733,1.0,2,213,176,5.5
16,45,RM,Pave,missing,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,missing,TA,TA,BrkTil,TA,TA,No,Unf,Unf,832,GasA,Ex,Y,FuseA,854,0,854,1,0,2,1,TA,Typ,missing,Detchd,Unf,TA,TA,Y,missing,GdPrv,missing,0,WD,Normal,132000,78,16.0,6,0,0.0,2,160,0,7.5
17,20,RL,Pave,missing,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,1004,GasA,Ex,Y,SBrkr,1004,0,1004,1,0,2,1,TA,Typ,TA,Attchd,Fin,TA,TA,Y,missing,missing,Shed,700,WD,Normal,149000,40,40.0,40,578,1.0,2,0,0,6.5
18,90,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,Gable,CompShg,MetalSd,MetalSd,missing,TA,TA,Slab,missing,missing,missing,missing,missing,0,GasA,TA,Y,SBrkr,1296,0,1296,2,0,2,2,TA,Typ,missing,CarPort,Unf,TA,TA,Y,missing,missing,Shed,500,WD,Normal,90000,39,39.0,39,0,0.0,2,0,0,4.5
19,20,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,missing,TA,TA,PConc,TA,TA,No,GLQ,Unf,1114,GasA,Ex,Y,SBrkr,1114,0,1114,1,1,3,1,Gd,Typ,missing,Detchd,Unf,TA,TA,Y,missing,missing,missing,0,WD,Normal,159000,4,4.0,4,646,1.0,2,102,0,5.0
20,20,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,Plywood,missing,TA,TA,CBlock,TA,TA,No,LwQ,Unf,1029,GasA,TA,Y,SBrkr,1339,0,1339,1,0,3,1,TA,Min1,missing,Attchd,Unf,TA,TA,Y,missing,MnPrv,missing,0,COD,Abnorml,139000,51,51.0,44,504,0.0,2,0,0,5.5
21,60,RL,Pave,missing,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1158,GasA,Ex,Y,SBrkr,1158,0,2376,3,1,4,1,Gd,Typ,Gd,BuiltIn,RFn,TA,TA,Y,missing,missing,missing,0,New,Partial,325300,1,1.0,0,0,0.0,4,394,0,6.5
22,45,RM,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,missing,TA,TA,PConc,TA,TA,No,Unf,Unf,637,GasA,Ex,Y,FuseF,1108,0,1108,1,0,3,1,Gd,Typ,Gd,Attchd,Unf,TA,TA,N,missing,GdPrv,missing,0,WD,Normal,139400,77,77.0,57,0,0.0,2,0,205,7.0
23,20,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1777,GasA,Ex,Y,SBrkr,1795,0,1795,2,0,3,1,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,missing,missing,missing,0,WD,Normal,230000,6,6.0,6,0,0.0,3,330,0,6.5
24,120,RM,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,missing,TA,TA,PConc,Gd,TA,No,GLQ,Unf,1040,GasA,TA,Y,SBrkr,1060,0,1060,1,0,3,1,TA,Typ,TA,Attchd,Unf,TA,TA,Y,missing,missing,missing,0,WD,Normal,129900,31,31.0,31,840,1.0,2,210,0,6.0
25,20,RL,Pave,missing,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,missing,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,1060,GasA,Ex,Y,SBrkr,1060,0,1060,1,0,3,1,Gd,Typ,TA,Attchd,Unf,TA,TA,Y,missing,MnPrv,missing,0,WD,Normal,154000,42,42.0,9,856,1.0,2,496,0,6.5
26,20,RL,Pave,missing,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1566,GasA,Ex,Y,SBrkr,1600,0,1600,2,0,3,1,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,missing,missing,missing,0,WD,Normal,256300,2,2.0,2,0,0.0,3,56,0,6.5
27,20,RL,Pave,missing,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,missing,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,900,GasA,TA,Y,SBrkr,900,0,900,1,0,3,1,Gd,Typ,missing,Detchd,Unf,TA,TA,Y,missing,missing,missing,0,WD,Normal,134800,59,5.0,10,720,0.5,1,254,0,6.0
28,20,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,1704,GasA,Ex,Y,SBrkr,1704,0,1704,2,0,3,1,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,missing,missing,missing,0,WD,Normal,306000,3,2.0,2,1218,1.0,3,50,0,6.5
29,20,RL,Pave,missing,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,missing,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,1484,GasA,TA,Y,SBrkr,1600,0,1600,1,0,2,1,TA,Typ,Gd,Attchd,RFn,TA,TA,Y,missing,missing,missing,0,WD,Normal,207500,49,49.0,9,1277,1.0,3,546,0,5.5
30,30,RM,Pave,missing,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,missing,TA,TA,BrkTil,TA,TA,No,Unf,Unf,520,GasA,Fa,N,SBrkr,520,0,520,1,0,1,1,Fa,Typ,missing,Detchd,Unf,Fa,TA,Y,missing,missing,missing,0,WD,Normal,68500,81,88.0,58,0,0.0,2,49,87,5.0
31,70,C (all),Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,Gambrel,CompShg,BrkFace,BrkFace,missing,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,649,GasA,TA,N,SBrkr,649,0,1317,1,0,3,1,TA,Typ,missing,Detchd,Unf,TA,Fa,N,missing,MnPrv,missing,0,WD,Normal,40000,88,88.0,58,0,0.0,2,54,172,4.0
32,20,RL,Pave,missing,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,missing,TA,TA,CBlock,TA,TA,No,Unf,Unf,1228,GasA,Gd,Y,SBrkr,1228,0,1228,1,1,3,1,Gd,Typ,missing,Attchd,Unf,TA,TA,Y,missing,MnPrv,missing,0,WD,Normal,149350,42,42.0,2,0,0.0,2,65,0,5.5
33,20,RL,Pave,missing,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,missing,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1234,GasA,Ex,Y,SBrkr,1234,0,1234,2,0,3,1,Gd,Typ,missing,Attchd,RFn,TA,TA,Y,missing,missing,missing,0,WD,Normal,179900,1,1.0,1,0,0.0,3,30,0,6.5
34,20,RL,Pave,missing,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,missing,TA,TA,CBlock,TA,TA,No,Rec,Unf,1398,GasA,Gd,Y,SBrkr,1700,0,1700,1,1,4,1,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,missing,missing,missing,0,WD,Normal,165500,51,51.0,51,1018,0.5,1,38,0,5.0
35,120,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1561,GasA,Ex,Y,SBrkr,1561,0,1561,2,0,2,1,Ex,Typ,Gd,Attchd,Fin,TA,TA,Y,missing,missing,missing,0,WD,Normal,277500,2,2.0,2,1153,1.0,3,250,0,7.0
36,60,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1117,GasA,Ex,Y,SBrkr,1132,0,2452,3,1,4,1,Gd,Typ,Gd,BuiltIn,Fin,TA,TA,Y,missing,missing,missing,0,WD,Normal,309000,2,2.0,1,0,0.0,4,145,0,6.5
37,20,RL,Pave,missing,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,missing,TA,TA,PConc,Gd,TA,No,Unf,Unf,1097,GasA,Ex,Y,SBrkr,1097,0,1097,1,1,3,1,TA,Typ,missing,Attchd,Unf,TA,TA,Y,missing,missing,missing,0,WD,Normal,145000,15,14.0,14,0,0.0,2,456,0,5.0
38,20,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,1297,GasA,Gd,Y,SBrkr,1297,0,1297,1,0,3,1,TA,Typ,TA,Attchd,Fin,TA,TA,Y,missing,missing,missing,0,WD,Normal,153000,55,55.0,19,1213,0.5,1,0,0,5.5
39,20,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,missing,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,1057,GasA,TA,Y,SBrkr,1057,0,1057,1,0,3,1,Gd,Typ,missing,Detchd,Unf,TA,TA,Y,missing,missing,missing,0,WD,Abnorml,109000,57,57.0,3,731,1.0,1,52,0,6.0
40,90,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,Gable,CompShg,AsbShng,Plywood,missing,TA,TA,PConc,missing,missing,missing,missing,missing,0,GasA,TA,N,FuseP,1152,0,1152,2,0,2,2,Fa,Typ,missing,missing,missing,missing,missing,N,missing,missing,missing,0,WD,AdjLand,82000,53,28.0,53,0,0.0,2,0,0,4.5
41,20,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,1088,GasA,Ex,Y,SBrkr,1324,0,1324,2,0,3,1,TA,Typ,TA,Attchd,RFn,TA,TA,Y,missing,GdWo,missing,0,WD,Abnorml,160000,41,41.0,41,643,0.0,2,138,0,5.5
42,20,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,missing,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,1350,GasA,Gd,Y,SBrkr,1328,0,1328,1,1,2,1,TA,Typ,Gd,Attchd,RFn,TA,TA,P,missing,missing,missing,0,WD,Normal,170000,48,48.0,48,967,0.5,2,104,0,5.5
43,85,RL,Pave,missing,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,Gable,CompShg,HdBoard,HdBoard,missing,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,840,GasA,Gd,Y,SBrkr,884,0,884,1,0,2,1,Gd,Typ,missing,Attchd,RFn,TA,Gd,Y,missing,MnPrv,missing,0,WD,Normal,144000,24,24.0,24,840,1.0,2,240,0,6.0
44,20,RL,Pave,missing,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,missing,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,938,GasA,TA,Y,SBrkr,938,0,938,1,0,3,1,TA,Typ,missing,Detchd,Unf,TA,TA,Y,missing,MnPrv,missing,0,WD,Normal,130250,33,31.0,28,771,1.0,1,145,0,5.5
45,20,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,missing,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,1150,GasA,Ex,Y,FuseA,1150,0,1150,1,0,3,1,TA,Typ,missing,Attchd,RFn,TA,TA,Y,missing,missing,missing,0,WD,Normal,141000,47,47.0,47,685,1.0,2,0,0,5.5
46,120,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1752,GasA,Ex,Y,SBrkr,1752,0,1752,2,0,2,1,Ex,Typ,Gd,Attchd,RFn,TA,TA,Y,missing,missing,missing,0,WD,Normal,319900,5,5.0,5,456,1.0,3,278,0,7.0
47,50,RL,Pave,missing,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,missing,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,1434,GasA,Ex,Y,SBrkr,1518,0,2149,1,1,1,1,Gd,Typ,Ex,Attchd,RFn,TA,TA,Y,missing,missing,missing,0,WD,Abnorml,239686,6,6.0,6,1351,1.0,4,211,198,6.0
48,20,FV,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,missing,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1656,GasA,Ex,Y,SBrkr,1656,0,1656,2,0,3,1,Gd,Typ,missing,Attchd,RFn,TA,TA,Y,missing,missing,missing,0,WD,Normal,249700,1,1.0,1,24,0.0,3,146,0,6.5
49,190,RM,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,Gable,CompShg,MetalSd,MetalSd,missing,TA,TA,BrkTil,TA,TA,No,Unf,Unf,736,GasA,Gd,Y,SBrkr,736,0,1452,2,0,2,3,TA,Typ,missing,missing,missing,missing,missing,N,missing,missing,missing,0,New,Partial,113000,89,29.0,1,0,0.0,3,0,102,4.5
50,20,RL,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,missing,TA,TA,CBlock,TA,TA,No,BLQ,Unf,955,GasA,Ex,Y,SBrkr,955,0,955,1,0,3,1,TA,Typ,missing,Attchd,Unf,TA,TA,Y,missing,MnPrv,missing,0,WD,Normal,127000,41,41.0,41,763,1.0,2,0,0,6.0
51,60,RL,Pave,missing,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,missing,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,794,GasA,Gd,Y,SBrkr,794,0,1470,2,0,3,1,TA,Typ,missing,Attchd,Fin,TA,TA,Y,missing,missing,missing,0,WD,Normal,177000,10,10.0,10,182,0.5,2,75,0,6.0
52,50,RM,Pave,missing,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,missing,TA,TA,PConc,TA,TA,No,Unf,Unf,816,GasA,TA,Y,SBrkr,816,360,1176,1,0,3,1,TA,Typ,Gd,Detchd,Unf,TA,TA,Y,missing,MnPrv,Shed,400,WD,Normal,114500,72,21.0,56,0,0.0,2,112,0,6.0
53,90,RM,Grvl,missing,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,missing,Fa,TA,CBlock,Gd,TA,Gd,LwQ,GLQ,816,GasA,TA,N,SBrkr,816,0,816,1,0,2,1,TA,Typ,missing,CarPort,Unf,TA,TA,Y,missing,missing,missing,0,WD,Normal,110000,47,47.0,47,816,1.0,2,106,0,5.0
54,20,RL,Pave,missing,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,Gable,WdShngl,WdShing,Wd Shng,missing,Gd,TA,CBlock,Ex,TA,Gd,GLQ,Unf,1842,GasA,Gd,Y,SBrkr,1842,0,1842,0,1,0,1,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,missing,missing,missing,0,WD,Normal,385000,25,25.0,19,1810,2.0,4,929,0,7.0
55,80,RL,Pave,missing,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,Gable,CompShg,MetalSd,MetalSd,missing,TA,TA,CBlock,TA,TA,No,ALQ,Unf,384,GasA,TA,Y,SBrkr,1360,0,1360,1,0,3,1,TA,Min1,TA,Detchd,Unf,TA,TA,Y,missing,MnPrv,missing,0,WD,Normal,130000,52,45.0,52,384,0.0,2,50,0,5.0
56,20,RL,Pave,missing,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,Unf,1425,GasA,Gd,Y,SBrkr,1425,0,1425,2,0,3,1,TA,Typ,Gd,Attchd,RFn,TA,TA,Y,missing,missing,missing,0,WD,Normal,180500,44,44.0,44,490,0.0,3,0,407,5.5
57,160,FV,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,970,GasA,Ex,Y,SBrkr,983,0,1739,2,1,3,1,Gd,Typ,missing,Attchd,Fin,TA,TA,Y,missing,missing,missing,0,WD,Abnorml,172500,10,10.0,9,649,1.0,3,115,0,6.5
58,60,RL,Pave,missing,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,missing,Gd,TA,PConc,Gd,TA,No,Unf,Unf,860,GasA,Ex,Y,SBrkr,860,0,1720,2,1,3,1,Gd,Typ,missing,Attchd,RFn,TA,TA,Y,missing,missing,missing,0,WD,Normal,196500,2,2.0,2,0,0.0,3,70,0,6.0
