Id,MSSubClass,MSZoning,LotShape,Utilities,LotConfig,Neighborhood,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,Foundation,BsmtExposure,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,Fence,MiscVal,SaleType,SaleCondition,SalePrice,HouseAge,GarageAge,RemodAge,BsmtFinSF,TotalBsmtBath,LivRmsAbvGrd,WDOpnPorch,TSSnEncPorch,OverallGrade,StreetAlley,LandSlopeContour,LotCondition,BsmtFinType,BsmtGrade,ExterGrade
18,90,3.0,3.0,0.0,4.0,19.0,2.0,2.0,1.0,1.0,8.0,8.0,3.0,3.0,4.0,0,1.0,4.0,1.0,4.0,1296,0,1296,2,0,2,2,3.0,6.0,5.0,4.0,2.0,4.0,4.0,2.0,4.0,500,8.0,4.0,90000,39,39.0,39,0,0.0,2,0,0,4.5,1.5,1.5,2.0,6.0,4.0,3.5
19,20,3.0,3.0,0.0,4.0,20.0,0.0,2.0,1.0,1.0,12.0,13.0,3.0,2.0,3.0,1114,1.0,0.0,1.0,4.0,1114,0,1114,1,1,3,1,2.0,6.0,5.0,5.0,2.0,4.0,4.0,2.0,4.0,0,8.0,4.0,159000,4,4.0,4,646,1.0,2,102,0,5.0,1.5,1.5,3.5,3.5,3.0,3.5
20,20,3.0,3.0,0.0,4.0,12.0,0.0,2.0,3.0,1.0,3.0,10.0,3.0,1.0,3.0,1029,1.0,4.0,1.0,4.0,1339,0,1339,1,0,3,1,3.0,2.0,5.0,1.0,2.0,4.0,4.0,2.0,2.0,0,0.0,0.0,139000,51,51.0,44,504,0.0,2,0,0,5.5,1.5,1.5,2.0,4.0,3.0,3.5
21,60,3.0,0.0,0.0,0.0,16.0,0.0,5.0,1.0,1.0,12.0,13.0,1.0,2.0,0.0,1158,1.0,0.0,1.0,4.0,1158,0,2376,3,1,4,1,2.0,6.0,2.0,3.0,1.0,4.0,4.0,2.0,4.0,0,6.0,5.0,325300,1,1.0,0,0,0.0,4,394,0,6.5,1.5,1.5,2.0,5.0,1.5,3.0
22,45,4.0,3.0,0.0,4.0,9.0,0.0,1.0,1.0,1.0,13.0,14.0,3.0,2.0,3.0,637,1.0,0.0,1.0,1.0,1108,0,1108,1,0,3,1,2.0,6.0,2.0,1.0,2.0,4.0,4.0,0.0,0.0,0,8.0,4.0,139400,77,77.0,57,0,0.0,2,0,205,7.0,0.5,0.0,2.0,5.0,3.0,3.5
23,20,3.0,3.0,0.0,4.0,5.0,0.0,2.0,3.0,1.0,12.0,13.0,1.0,2.0,3.0,1777,1.0,0.0,1.0,4.0,1795,0,1795,2,0,3,1,2.0,6.0,2.0,1.0,1.0,4.0,4.0,2.0,4.0,0,8.0,4.0,230000,6,6.0,6,0,0.0,3,330,0,6.5,1.5,1.5,2.0,5.0,2.5,3.0
24,120,4.0,3.0,0.0,4.0,10.0,4.0,2.0,1.0,1.0,5.0,5.0,3.0,2.0,3.0,1040,1.0,4.0,1.0,4.0,1060,0,1060,1,0,3,1,3.0,6.0,4.0,1.0,2.0,4.0,4.0,2.0,4.0,0,8.0,4.0,129900,31,31.0,31,840,1.0,2,210,0,6.0,1.5,1.5,2.0,3.5,2.5,3.5
25,20,3.0,0.0,0.0,4.0,19.0,0.0,2.0,1.0,1.0,9.0,10.0,3.0,1.0,2.0,1060,1.0,0.0,1.0,4.0,1060,0,1060,1,0,3,1,2.0,6.0,4.0,1.0,2.0,4.0,4.0,2.0,2.0,0,8.0,4.0,154000,42,42.0,9,856,1.0,2,496,0,6.5,1.5,1.5,2.0,2.0,3.0,2.5
26,20,3.0,3.0,0.0,0.0,16.0,0.0,2.0,1.0,1.0,12.0,13.0,2.0,2.0,3.0,1566,1.0,0.0,1.0,4.0,1600,0,1600,2,0,3,1,2.0,6.0,2.0,1.0,1.0,4.0,4.0,2.0,4.0,0,8.0,4.0,256300,2,2.0,2,0,0.0,3,56,0,6.5,1.5,1.5,2.0,5.0,2.5,3.0
27,20,3.0,3.0,0.0,0.0,12.0,0.0,2.0,1.0,1.0,13.0,14.0,3.0,1.0,2.0,900,1.0,4.0,1.0,4.0,900,0,900,1,0,3,1,2.0,6.0,5.0,5.0,2.0,4.0,4.0,2.0,4.0,0,8.0,4.0,134800,59,5.0,10,720,0.5,1,254,0,6.0,1.5,1.5,2.0,2.5,3.0,3.5
28,20,3.0,3.0,0.0,4.0,16.0,0.0,2.0,1.0,1.0,12.0,13.0,2.0,2.0,3.0,1704,1.0,0.0,1.0,4.0,1704,0,1704,2,0,3,1,2.0,6.0,2.0,1.0,1.0,4.0,4.0,2.0,4.0,0,8.0,4.0,306000,3,2.0,2,1218,1.0,3,50,0,6.5,1.5,1.5,2.0,3.5,1.5,3.0
29,20,3.0,0.0,0.0,1.0,12.0,0.0,2.0,1.0,1.0,8.0,8.0,3.0,1.0,1.0,1484,1.0,4.0,1.0,4.0,1600,0,1600,1,0,2,1,3.0,6.0,2.0,1.0,1.0,4.0,4.0,2.0,4.0,0,8.0,4.0,207500,49,49.0,9,1277,1.0,3,546,0,5.5,1.5,1.5,2.0,3.0,3.0,3.5
30,30,4.0,0.0,0.0,4.0,3.0,0.0,2.0,1.0,1.0,8.0,8.0,3.0,0.0,3.0,520,1.0,1.0,0.0,4.0,520,0,520,1,0,1,1,1.0,6.0,5.0,5.0,2.0,1.0,4.0,2.0,4.0,0,8.0,4.0,68500,81,88.0,58,0,0.0,2,49,87,5.0,1.5,1.5,4.0,5.0,3.0,3.5
31,70,0.0,3.0,0.0,4.0,9.0,0.0,5.0,2.0,1.0,3.0,3.0,3.0,0.0,3.0,649,1.0,4.0,0.0,4.0,649,0,1317,1,0,3,1,3.0,6.0,5.0,5.0,2.0,4.0,1.0,0.0,2.0,0,8.0,4.0,40000,88,88.0,58,0,0.0,2,54,172,4.0,1.0,1.5,1.5,5.0,3.0,2.0
32,20,3.0,0.0,0.0,1.0,19.0,0.0,2.0,1.0,1.0,6.0,6.0,3.0,1.0,3.0,1228,1.0,2.0,1.0,4.0,1228,0,1228,1,1,3,1,2.0,6.0,5.0,1.0,2.0,4.0,4.0,2.0,2.0,0,8.0,4.0,149350,42,42.0,2,0,0.0,2,65,0,5.5,1.5,1.5,2.0,5.0,3.0,3.5
33,20,3.0,3.0,0.0,0.0,5.0,0.0,2.0,1.0,1.0,12.0,13.0,3.0,2.0,0.0,1234,1.0,0.0,1.0,4.0,1234,0,1234,2,0,3,1,2.0,6.0,5.0,1.0,1.0,4.0,4.0,2.0,4.0,0,8.0,4.0,179900,1,1.0,1,0,0.0,3,30,0,6.5,1.5,1.5,2.0,5.0,1.5,3.0
34,20,3.0,0.0,0.0,4.0,12.0,0.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,1398,1.0,2.0,1.0,4.0,1700,0,1700,1,1,4,1,2.0,6.0,2.0,1.0,1.0,4.0,4.0,2.0,4.0,0,8.0,4.0,165500,51,51.0,51,1018,0.5,1,38,0,5.0,1.5,1.5,2.0,4.5,3.0,3.5
35,120,3.0,3.0,0.0,4.0,16.0,4.0,2.0,3.0,1.0,8.0,8.0,1.0,2.0,3.0,1561,1.0,0.0,1.0,4.0,1561,0,1561,2,0,2,1,0.0,6.0,2.0,1.0,0.0,4.0,4.0,2.0,4.0,0,8.0,4.0,277500,2,2.0,2,1153,1.0,3,250,0,7.0,1.5,1.5,2.0,3.5,1.5,2.0
36,60,3.0,3.0,0.0,4.0,16.0,0.0,5.0,1.0,1.0,12.0,13.0,2.0,2.0,0.0,1117,1.0,0.0,1.0,4.0,1132,0,2452,3,1,4,1,2.0,6.0,2.0,3.0,0.0,4.0,4.0,2.0,4.0,0,8.0,4.0,309000,2,2.0,1,0,0.0,4,145,0,6.5,1.5,1.5,2.0,5.0,1.5,3.0
37,20,3.0,3.0,0.0,0.0,5.0,0.0,2.0,1.0,1.0,12.0,13.0,3.0,2.0,3.0,1097,1.0,0.0,1.0,4.0,1097,0,1097,1,1,3,1,3.0,6.0,5.0,1.0,2.0,4.0,4.0,2.0,4.0,0,8.0,4.0,145000,15,14.0,14,0,0.0,2,456,0,5.0,1.5,1.5,2.0,5.0,2.5,3.5
38,20,3.0,3.0,0.0,4.0,12.0,0.0,2.0,3.0,1.0,13.0,14.0,1.0,1.0,3.0,1297,1.0,2.0,1.0,4.0,1297,0,1297,1,0,3,1,3.0,6.0,4.0,1.0,0.0,4.0,4.0,2.0,4.0,0,8.0,4.0,153000,55,55.0,19,1213,0.5,1,0,0,5.5,1.5,1.5,2.0,4.5,3.0,3.5
39,20,3.0,3.0,0.0,4.0,12.0,0.0,2.0,1.0,1.0,12.0,13.0,3.0,1.0,3.0,1057,1.0,4.0,1.0,4.0,1057,0,1057,1,0,3,1,2.0,6.0,5.0,5.0,2.0,4.0,4.0,2.0,4.0,0,8.0,0.0,109000,57,57.0,3,731,1.0,1,52,0,6.0,1.5,1.5,2.0,3.5,3.0,2.5
40,90,3.0,3.0,0.0,4.0,7.0,2.0,2.0,1.0,1.0,0.0,10.0,3.0,2.0,4.0,0,1.0,4.0,0.0,2.0,1152,0,1152,2,0,2,2,1.0,6.0,5.0,6.0,3.0,5.0,5.0,0.0,4.0,0,8.0,1.0,82000,53,28.0,53,0,0.0,2,0,0,4.5,1.5,1.5,2.0,6.0,4.0,3.5
41,20,3.0,3.0,0.0,4.0,12.0,0.0,2.0,1.0,1.0,13.0,14.0,1.0,1.0,3.0,1088,1.0,0.0,1.0,4.0,1324,0,1324,2,0,3,1,3.0,6.0,4.0,1.0,1.0,4.0,4.0,2.0,1.0,0,8.0,0.0,160000,41,41.0,41,643,0.0,2,138,0,5.5,1.5,1.5,2.0,4.5,3.0,3.5
42,20,3.0,3.0,0.0,4.0,23.0,0.0,2.0,1.0,1.0,12.0,13.0,3.0,1.0,1.0,1350,1.0,2.0,1.0,4.0,1328,0,1328,1,1,2,1,3.0,6.0,2.0,1.0,1.0,4.0,4.0,1.0,4.0,0,8.0,4.0,170000,48,48.0,48,967,0.5,2,104,0,5.5,1.5,1.5,2.0,3.0,3.0,2.5
43,85,3.0,0.0,0.0,1.0,20.0,0.0,6.0,1.0,1.0,6.0,6.0,3.0,1.0,0.0,840,1.0,2.0,1.0,4.0,884,0,884,1,0,2,1,2.0,6.0,5.0,1.0,1.0,4.0,2.0,2.0,2.0,0,8.0,4.0,144000,24,24.0,24,840,1.0,2,240,0,6.0,1.5,1.5,2.0,1.5,2.5,3.5
44,20,3.0,0.0,0.0,1.0,5.0,0.0,2.0,3.0,1.0,12.0,13.0,3.0,1.0,0.0,938,1.0,4.0,1.0,4.0,938,0,938,1,0,3,1,3.0,6.0,5.0,5.0,2.0,4.0,4.0,2.0,2.0,0,8.0,4.0,130250,33,31.0,28,771,1.0,1,145,0,5.5,1.5,1.5,2.0,2.0,2.5,3.5
45,20,3.0,3.0,0.0,4.0,12.0,0.0,2.0,1.0,1.0,3.0,14.0,3.0,1.0,3.0,1150,1.0,0.0,1.0,0.0,1150,0,1150,1,0,3,1,3.0,6.0,5.0,1.0,1.0,4.0,4.0,2.0,4.0,0,8.0,4.0,141000,47,47.0,47,685,1.0,2,0,0,5.5,1.5,1.5,2.0,0.5,3.0,3.5
46,120,3.0,3.0,0.0,4.0,16.0,4.0,2.0,3.0,1.0,8.0,8.0,1.0,2.0,3.0,1752,1.0,0.0,1.0,4.0,1752,0,1752,2,0,2,1,0.0,6.0,2.0,1.0,1.0,4.0,4.0,2.0,4.0,0,8.0,4.0,319900,5,5.0,5,456,1.0,3,278,0,7.0,1.5,1.5,2.0,3.5,1.5,2.0
47,50,3.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,1.0,12.0,13.0,3.0,2.0,3.0,1434,1.0,0.0,1.0,4.0,1518,0,2149,1,1,1,1,2.0,6.0,0.0,1.0,1.0,4.0,4.0,2.0,4.0,0,8.0,0.0,239686,6,6.0,6,1351,1.0,4,211,198,6.0,1.5,1.5,2.0,3.5,1.5,3.0
48,20,1.0,3.0,0.0,4.0,21.0,0.0,2.0,1.0,1.0,12.0,13.0,3.0,2.0,0.0,1656,1.0,0.0,1.0,4.0,1656,0,1656,2,0,3,1,2.0,6.0,5.0,1.0,1.0,4.0,4.0,2.0,4.0,0,8.0,4.0,249700,1,1.0,1,24,0.0,3,146,0,6.5,1.5,1.5,2.0,3.5,2.5,3.0
49,190,4.0,3.0,0.0,4.0,17.0,1.0,5.0,1.0,1.0,8.0,8.0,3.0,0.0,3.0,736,1.0,2.0,1.0,4.0,736,0,1452,2,0,2,3,3.0,6.0,5.0,6.0,3.0,5.0,5.0,0.0,4.0,0,6.0,5.0,113000,89,29.0,1,0,0.0,3,0,102,4.5,1.5,1.5,2.0,5.0,3.0,3.5
50,20,3.0,3.0,0.0,4.0,19.0,0.0,2.0,1.0,1.0,6.0,6.0,3.0,1.0,3.0,955,1.0,0.0,1.0,4.0,955,0,955,1,0,3,1,3.0,6.0,5.0,1.0,2.0,4.0,4.0,2.0,2.0,0,8.0,4.0,127000,41,41.0,41,763,1.0,2,0,0,6.0,1.5,1.5,2.0,3.0,3.0,3.5
51,60,3.0,1.0,0.0,0.0,8.0,0.0,5.0,1.0,1.0,12.0,13.0,3.0,2.0,0.0,794,1.0,2.0,1.0,4.0,794,0,1470,2,0,3,1,3.0,6.0,5.0,1.0,0.0,4.0,4.0,2.0,4.0,0,8.0,4.0,177000,10,10.0,10,182,0.5,2,75,0,6.0,1.5,1.5,2.0,3.5,2.5,3.5
52,50,4.0,3.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,13.0,14.0,3.0,2.0,3.0,816,1.0,4.0,1.0,4.0,816,360,1176,1,0,3,1,3.0,6.0,2.0,5.0,2.0,4.0,4.0,2.0,2.0,400,8.0,4.0,114500,72,21.0,56,0,0.0,2,112,0,6.0,1.5,1.5,2.0,5.0,3.0,3.5
53,90,4.0,1.0,0.0,0.0,9.0,2.0,2.0,1.0,1.0,13.0,14.0,3.0,1.0,1.0,816,1.0,4.0,0.0,4.0,816,0,816,1,0,2,1,3.0,6.0,5.0,4.0,2.0,4.0,4.0,2.0,4.0,0,8.0,4.0,110000,47,47.0,47,816,1.0,2,106,0,5.0,1.0,0.5,5.0,2.5,2.5,2.5
54,20,3.0,0.0,0.0,4.0,24.0,0.0,2.0,1.0,7.0,14.0,15.0,3.0,1.0,1.0,1842,1.0,2.0,1.0,4.0,1842,0,1842,0,1,0,1,2.0,6.0,2.0,1.0,0.0,4.0,4.0,2.0,4.0,0,8.0,4.0,385000,25,25.0,19,1810,2.0,4,929,0,7.0,1.5,1.0,2.0,3.5,1.5,3.0
55,80,3.0,3.0,0.0,4.0,12.0,0.0,7.0,1.0,1.0,8.0,8.0,3.0,1.0,3.0,384,1.0,4.0,1.0,4.0,1360,0,1360,1,0,3,1,3.0,2.0,4.0,5.0,2.0,4.0,4.0,2.0,2.0,0,8.0,4.0,130000,52,45.0,52,384,0.0,2,50,0,5.0,1.5,0.5,2.0,2.5,3.0,3.5
56,20,3.0,0.0,0.0,4.0,12.0,0.0,2.0,1.0,1.0,6.0,10.0,1.0,1.0,3.0,1425,1.0,2.0,1.0,4.0,1425,0,1425,2,0,3,1,3.0,6.0,2.0,1.0,1.0,4.0,4.0,2.0,4.0,0,8.0,4.0,180500,44,44.0,44,490,0.0,3,0,407,5.5,1.5,1.5,2.0,3.0,3.0,3.5
57,160,1.0,3.0,0.0,4.0,21.0,3.0,5.0,1.0,1.0,8.0,8.0,1.0,2.0,3.0,970,1.0,0.0,1.0,4.0,983,0,1739,2,1,3,1,2.0,6.0,5.0,1.0,0.0,4.0,4.0,2.0,4.0,0,8.0,0.0,172500,10,10.0,9,649,1.0,3,115,0,6.5,1.0,1.5,2.0,3.5,2.5,3.0
58,60,3.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,1.0,12.0,13.0,3.0,2.0,3.0,860,1.0,0.0,1.0,4.0,860,0,1720,2,1,3,1,2.0,6.0,5.0,1.0,1.0,4.0,4.0,2.0,4.0,0,8.0,4.0,196500,2,2.0,2,0,0.0,3,70,0,6.0,1.5,1.5,2.0,5.0,2.5,3.0
59,60,3.0,1.0,0.0,1.0,22.0,0.0,5.0,3.0,1.0,12.0,13.0,1.0,2.0,1.0,1410,1.0,0.0,1.0,4.0,1426,0,2945,3,1,3,1,2.0,6.0,2.0,3.0,0.0,4.0,4.0,2.0,4.0,0,6.0,5.0,438780,0,0.0,0,0,0.0,6,192,37,7.5,1.5,0.5,2.0,5.0,1.5,2.0
60,20,3.0,3.0,0.0,4.0,5.0,0.0,2.0,1.0,1.0,6.0,6.0,3.0,1.0,0.0,780,1.0,0.0,1.0,4.0,780,0,780,1,0,2,1,3.0,6.0,5.0,5.0,2.0,4.0,4.0,2.0,2.0,0,8.0,4.0,124900,36,35.0,36,632,0.0,1,196,0,6.0,1.5,0.0,2.0,2.5,3.0,3.5
61,20,3.0,3.0,0.0,4.0,20.0,0.0,2.0,1.0,1.0,12.0,13.0,3.0,2.0,3.0,1158,1.0,0.0,1.0,4.0,1158,0,1158,1,1,3,1,2.0,6.0,5.0,5.0,2.0,4.0,4.0,2.0,4.0,0,6.0,5.0,158000,2,0.0,2,941,1.0,1,50,0,5.5,1.5,1.5,3.5,2.5,2.5,3.5
62,75,4.0,3.0,0.0,4.0,9.0,0.0,4.0,1.0,1.0,8.0,8.0,3.0,0.0,3.0,530,1.0,4.0,0.0,4.0,581,0,1111,1,0,3,1,1.0,6.0,5.0,5.0,2.0,4.0,4.0,0.0,4.0,0,8.0,4.0,101000,87,72.0,11,0,0.0,2,0,144,6.0,1.5,1.5,2.0,5.0,1.5,3.5
63,120,3.0,0.0,0.0,4.0,16.0,4.0,2.0,1.0,1.0,12.0,13.0,2.0,2.0,2.0,1370,1.0,0.0,1.0,4.0,1370,0,1370,2,0,2,1,2.0,6.0,2.0,1.0,1.0,4.0,4.0,2.0,4.0,0,8.0,4.0,202500,1,1.0,1,24,0.0,3,169,0,6.5,1.5,1.5,2.0,3.5,1.5,3.0
64,70,4.0,0.0,0.0,4.0,17.0,0.0,5.0,1.0,1.0,11.0,12.0,3.0,0.0,3.0,576,1.0,2.0,1.0,4.0,902,0,1710,2,0,3,1,3.0,6.0,5.0,5.0,2.0,4.0,4.0,2.0,0.0,0,8.0,4.0,140000,89,20.0,60,0,0.0,5,23,64,6.5,1.5,0.0,3.5,5.0,3.0,3.5
65,60,3.0,3.0,0.0,4.0,5.0,0.0,5.0,1.0,1.0,12.0,13.0,1.0,2.0,3.0,1057,1.0,0.0,1.0,4.0,1057,0,2034,2,1,3,1,2.0,6.0,5.0,1.0,1.0,4.0,4.0,2.0,0.0,0,8.0,4.0,219500,12,11.0,11,739,1.0,4,612,0,6.0,1.5,1.5,2.0,3.5,2.5,3.5
66,60,3.0,3.0,0.0,4.0,16.0,0.0,5.0,1.0,1.0,12.0,13.0,1.0,2.0,0.0,1143,1.0,0.0,1.0,4.0,1143,0,2473,2,1,4,1,2.0,6.0,2.0,3.0,1.0,4.0,4.0,2.0,4.0,0,8.0,4.0,317000,3,3.0,2,0,0.0,4,343,0,6.5,1.5,1.5,2.0,5.0,1.5,3.0
67,20,3.0,3.0,0.0,4.0,12.0,0.0,2.0,1.0,1.0,9.0,10.0,1.0,1.0,1.0,1947,1.0,4.0,1.0,4.0,2207,0,2207,2,0,3,1,3.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,4.0,0,8.0,4.0,180000,40,40.0,21,912,1.0,3,301,0,6.0,1.5,1.5,2.5,3.5,2.5,3.5
68,20,3.0,0.0,0.0,4.0,5.0,0.0,2.0,1.0,1.0,12.0,13.0,1.0,2.0,0.0,1453,1.0,0.0,1.0,4.0,1479,0,1479,2,0,3,1,2.0,6.0,5.0,1.0,1.0,4.0,4.0,2.0,4.0,0,8.0,4.0,226000,4,4.0,4,1013,1.0,3,173,0,6.0,1.5,1.5,2.0,3.5,2.5,3.0
69,30,4.0,3.0,0.0,0.0,17.0,0.0,2.0,1.0,1.0,8.0,8.0,3.0,1.0,3.0,747,1.0,4.0,1.0,4.0,747,0,747,1,0,2,1,3.0,6.0,5.0,1.0,2.0,4.0,4.0,2.0,4.0,0,8.0,4.0,80000,65,65.0,60,0,0.0,1,0,0,5.0,1.5,1.5,1.0,5.0,3.0,2.5
